Rating,score
12세 미만인 자는 관람할 수 없는 등급,12
12세관람가,12
12세이상관람가,12
"12세이상관람가,12세관람가",12
"12세이상관람가,15세 미만인 자는 관람할 수 없는 등급",15
"12세이상관람가,15세이상관람가",15
"12세이상관람가,고등학생이상관람가",15
"12세이상관람가,국민학생관람불가",12
"12세이상관람가,국민학생관람불가,15세이상관람가",15
"12세이상관람가,연소자관람가",12
"12세이상관람가,연소자관람가,전체관람가",12
"12세이상관람가,전체관람가",12
"12세이상관람가,중학생이상관람가",12
15세 미만인 자는 관람할 수 없는 등급,15
"15세 미만인 자는 관람할 수 없는 등급 ,15세이상관람가",15
15세관람가,15
"15세관람가,12세이상관람가",15
"15세관람가,15세이상관람가",15
15세이상관람가,15
"15세이상관람가,18세 미만인 자는 관람할 수 없는 등급",18
"15세이상관람가,미성년자관람불가",18
"15세이상관람가,전체관람가",15
"15세이상관람가,중학생이상관람가",15
18세 미만인 자는 관람할 수 없는 등급,18
18세관람가,18
"18세관람가,15세이상관람가",18
"18세관람가,청소년관람불가",18
고등학생이상관람가,15
"고등학생이상관람가,15세이상관람가",15
"고등학생이상관람가,청소년관람불가",18
국민학생관람불가,12
"국민학생관람불가,15세이상관람가",15
"국민학생관람불가,중학생이상관람가",12
"국민학생관람불가,청소년관람불가",18
기타,ETC
모든 관람객이 관람할 수 있는 등급,ALL
"모든 관람객이 관람할 수 있는 등급,전체관람가",ALL
미성년자관람가,18
미성년자관람불가,18
미정,ETC
연소자관람가,ALL
"연소자관람가,15세이상관람가",15
"연소자관람가,전체관람가",ALL
연소자관람불가,ALL
"연소자관람불가,15세이상관람가",15
"연소자관람불가,청소년관람불가",18
전체관람가,ALL
"전체관람가,중학생이상관람가",12
제한상영가,X
중학생이상관람가,12
청소년관람불가,18
"청소년관람불가,12세관람가",18
"청소년관람불가,15세이상관람가",18
"청소년관람불가,고등학생이상관람가",18
"청소년관람불가,전체관람가",18
